Output Area Code,Ward name,Ward Census Code,Local Authority Name,Local Authority Code,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00090535,Abbey,E05002702,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00090536,Abbey,E05002702,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090537,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090538,Abbey,E05002702,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090539,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090540,Abbey,E05002702,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090541,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090542,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00090543,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090544,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090545,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090546,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090547,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090548,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090549,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090550,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090551,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090552,Arbury,E05002703,Cambridge,E07000008,3,Ethnicity Central,3a,Ethnic Family Life,3a2,Young Families and Students
E00090553,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090554,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090555,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090556,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090557,Arbury,E05002703,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00090558,Arbury,E05002703,Cambridge,E07000008,3,Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods
E00090559,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090560,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00090561,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090562,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090563,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090564,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090565,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090566,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090567,Arbury,E05002703,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090568,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090569,Arbury,E05002703,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090570,Arbury,E05002703,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d2,Established Tech Workers
E00090571,Arbury,E05002703,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090574,Castle,E05002704,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090575,Castle,E05002704,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090576,Castle,E05002704,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090577,Castle,E05002704,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090578,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090580,Castle,E05002704,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d1,New EU Tech Workers
E00090581,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090582,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090583,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090584,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090585,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090586,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090587,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090588,Castle,E05002704,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090589,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090590,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090591,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090592,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090593,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090594,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090595,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090596,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00090597,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00090598,Cherry Hinton,E05002705,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090599,Cherry Hinton,E05002705,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090600,Cherry Hinton,E05002705,Cambridge,E07000008,6,Suburbanites,6a,Suburban Achievers,6a1,Indian Tech Achievers
E00090601,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090602,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090603,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00090604,Cherry Hinton,E05002705,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090605,Cherry Hinton,E05002705,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090606,Cherry Hinton,E05002705,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090607,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090608,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090609,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090610,Cherry Hinton,E05002705,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090611,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090612,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090613,Cherry Hinton,E05002705,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090614,Cherry Hinton,E05002705,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090615,Cherry Hinton,E05002705,Cambridge,E07000008,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00090616,Cherry Hinton,E05002705,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090617,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00090618,Coleridge,E05002706,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090619,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090620,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090621,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090622,Coleridge,E05002706,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00090623,Coleridge,E05002706,Cambridge,E07000008,7,Constrained City Dwellers,7d,Ageing City Dwellers,7d2,Retired Independent City Dwellers
E00090624,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090626,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090627,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090628,Coleridge,E05002706,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090629,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090630,Coleridge,E05002706,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090631,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00090632,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090633,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090634,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090635,Coleridge,E05002706,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00090636,Coleridge,E05002706,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090637,Coleridge,E05002706,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090638,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090639,Coleridge,E05002706,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090640,Coleridge,E05002706,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090642,Coleridge,E05002706,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090643,East Chesterton,E05002707,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090644,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090645,East Chesterton,E05002707,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090646,East Chesterton,E05002707,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090647,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090648,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090649,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090650,East Chesterton,E05002707,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00090651,East Chesterton,E05002707,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090653,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090654,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090655,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090656,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090657,East Chesterton,E05002707,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00090658,East Chesterton,E05002707,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00090659,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090660,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090661,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090662,East Chesterton,E05002707,Cambridge,E07000008,6,Suburbanites,6b,Semi-Detached Suburbia,6b1,Multi-Ethnic Suburbia
E00090663,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090664,East Chesterton,E05002707,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00090665,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090666,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090667,East Chesterton,E05002707,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00090668,East Chesterton,E05002707,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090669,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090670,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090671,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090672,King's Hedges,E05002708,Cambridge,E07000008,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00090673,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090674,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090675,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090676,King's Hedges,E05002708,Cambridge,E07000008,3,Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families
E00090677,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090678,King's Hedges,E05002708,Cambridge,E07000008,3,Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods
E00090679,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090680,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090681,King's Hedges,E05002708,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00090682,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090683,King's Hedges,E05002708,Cambridge,E07000008,3,Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods
E00090684,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090685,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090686,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090687,King's Hedges,E05002708,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090688,King's Hedges,E05002708,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090689,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090690,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090691,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090692,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090693,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090694,King's Hedges,E05002708,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090695,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090696,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090697,King's Hedges,E05002708,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090698,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090700,Market,E05002709,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090701,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090702,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090703,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090704,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090705,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090707,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090708,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090710,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090711,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090712,Market,E05002709,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090713,Newnham,E05002710,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b3,Self-Sufficient Retirement
E00090714,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090715,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090716,Newnham,E05002710,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090717,Newnham,E05002710,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00090718,Newnham,E05002710,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00090719,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090720,Newnham,E05002710,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090721,Newnham,E05002710,Cambridge,E07000008,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00090723,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00090724,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c3,Professional Service Cosmopolitans
E00090726,Newnham,E05002710,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090727,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090728,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090729,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d3,EU White-Collar Workers
E00090730,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090731,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090733,Petersfield,E05002711,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
